Name,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,HR/162
JaCoby Jones\jonesja07,88,333,298,39,70,19,3,11,26,7,2,27,94,0.235,0.31,0.43,0.74,92,128,6,6,1,1,2,5.975308642
Elias Diaz\diazel01,101,332,303,31,73,14,0,2,28,0,0,23,56,0.241,0.296,0.307,0.603,61,93,11,2,1,3,0,1.24691358
Brandon Lowe*\lowebr01,82,327,296,42,80,17,2,17,51,5,0,25,113,0.27,0.336,0.514,0.85,124,152,1,5,0,1,0,8.604938272
Carlos Correa\correca01,75,321,280,42,78,16,1,21,59,1,0,35,75,0.279,0.358,0.568,0.926,137,159,8,2,0,4,0,9.722222222
Jake Marisnick\marisja01,120,318,292,46,68,16,3,10,34,10,3,17,95,0.233,0.289,0.411,0.7,80,120,6,6,3,0,0,7.407407407
Tyler Flowers\flowety01,85,310,271,36,62,11,3,11,34,0,0,31,105,0.229,0.319,0.413,0.733,86,112,8,6,0,2,3,5.771604938
Richie Martin\martiri01,120,309,283,29,59,8,3,6,23,10,1,14,83,0.208,0.26,0.322,0.581,54,91,6,6,5,1,0,4.444444444
Billy Hamilton#\hamilbi02,93,305,275,32,58,12,2,0,12,18,5,25,74,0.211,0.275,0.269,0.544,46,74,1,0,3,2,0,0
Austin Riley\rileyau01,80,297,274,41,62,11,1,18,49,0,2,16,108,0.226,0.279,0.471,0.75,86,129,4,5,0,2,3,8.888888889
Mike Tauchman*\tauchmi01,87,296,260,46,72,18,1,13,47,6,0,34,71,0.277,0.361,0.504,0.865,128,131,9,1,0,1,0,6.981481481
Byron Buxton\buxtoby01,87,295,271,48,71,30,4,10,46,14,3,19,68,0.262,0.314,0.513,0.827,114,139,3,2,2,1,1,5.37037037
Ronald Guzman*\guzmaro01,87,295,256,34,56,20,0,10,36,1,2,32,87,0.219,0.308,0.414,0.723,81,106,7,3,0,4,1,5.37037037
Brock Holt*\holtbr01,87,295,259,38,77,14,2,3,31,1,0,28,57,0.297,0.369,0.402,0.771,101,104,4,4,0,4,1,1.611111111
